FunctionName,RelativePath,CountLineCode,CountPath,Cyclomatic,MaxNesting,Knots,CountInput,CountOutput
do_exit,,8,1,1,0,0,1,4
main,,21,3,3,2,2,2,7
read,,,,,,,,
islower,,,,,,,,
fdopen,,,,,,,,
strdup,,,,,,,,
strrchr,,,,,,,,
alarm,,,,,,,,
getuid,,,,,,,,
sleep,,,,,,,,
unlink,,,,,,,,
write,,,,,,,,
history_expand,,111,2125,35,7,20,5,11
il_backward_char,,9,2,2,1,0,5,3
il_backward_delete_char,,16,3,3,2,0,9,10
il_backward_kill_word,,17,3,3,1,2,4,6
il_backward_word,,14,5,4,2,0,6,4
il_beginning_of_line,,6,1,1,0,0,6,3
il_capitalize_word,,23,5,5,4,1,5,7
il_delete_char,,15,3,3,2,0,7,9
il_delete_horizontal_space,,12,5,4,2,0,6,4
il_downcase_word,,13,3,3,2,0,5,5
il_echo,,8,1,1,0,0,4,3
il_end,,8,1,1,0,0,4,4
il_end_of_line,,6,1,1,0,0,5,3
il_exchange_point_and_mark,,7,1,1,0,0,4,3
il_forward_char,,9,2,2,1,0,5,3
il_forward_word,,14,5,4,2,0,9,4
il_free,,12,5,4,1,1,6,1
il_get_contents,,8,1,1,0,0,8,5
il_history,,67,19,15,3,8,9,18
il_init,,23,2,4,1,0,8,20
il_insert_char,,17,3,3,1,1,9,11
il_insert_text,,20,3,3,1,1,11,13
il_is_empty,,5,1,1,0,0,3,1
il_just_one_space,,10,2,2,1,0,4,4
il_kill_line,,11,1,1,0,0,7,7
il_kill_region,,6,1,1,0,0,1,3
il_kill_ring_save,,6,1,1,0,0,1,3
il_kill_to_beginning_of_line,,11,1,3,0,0,6,6
il_kill_to_end_of_line,,10,1,2,0,0,4,6
il_kill_word,,18,3,3,1,2,4,6
il_message,,9,1,2,0,0,9,4
il_point,,5,1,1,0,0,4,1
il_reset_line,,12,1,1,0,0,8,10
il_resize,,8,1,1,0,0,6,4
il_restore,,12,2,2,1,1,8,3
il_save,,14,4,3,1,0,8,8
il_set_error_flag,,6,1,1,0,0,2,2
il_set_mark,,5,1,1,0,0,8,2
il_set_static_text,,19,2,3,1,0,10,16
il_upcase_word,,13,3,3,2,0,5,5
il_update,,39,16,11,1,1,18,13
il_update_point,,20,4,7,1,0,15,5
il_yank,,9,2,2,1,0,3,3
panel_action,,471,192,125,7,781,38,59
panel_activate,,6,1,1,0,0,1,2
panel_center_current_entry,,6,1,1,0,0,3,3
panel_deactivate,,6,1,1,0,0,1,2
panel_end,,18,6,4,2,0,7,6
panel_get_current_file_gid,,6,1,1,0,0,5,1
panel_get_current_file_mode,,6,1,1,0,0,5,1
panel_get_current_file_name,,6,1,1,0,0,6,1
panel_get_current_file_type,,6,1,1,0,0,5,1
panel_get_current_file_uid,,6,1,1,0,0,5,1
panel_get_next,,23,6,7,3,7,14,3
panel_get_path,,6,1,1,0,0,5,1
panel_init,,63,8,5,1,1,12,47
panel_init_iterator,,7,1,1,0,0,8,3
panel_no_optimizations,,6,1,1,0,0,3,2
panel_resize,,19,2,2,1,1,12,12
panel_set_focus,,14,3,3,2,0,6,6
panel_set_wrapped_isearch_flag,,7,1,1,0,0,2,2
panel_unselect_all,,9,2,2,1,0,6,4
panel_update,,11,1,2,0,0,15,7
panel_window,,6,1,1,0,0,3,1
signal_handlers,,25,4,4,2,1,6,2
signals_init,,12,1,1,0,0,3,2
status,,13,2,2,1,0,12,8
status_default,,5,1,1,0,0,12,2
status_end,,5,1,1,0,0,3,1
status_init,,10,1,2,0,0,8,8
status_resize,,9,2,2,1,0,5,4
status_update,,28,3,3,1,3,11,6
display_errors,,28,6,6,3,3,7,9
remove_log,,8,4,3,1,0,7,1
start,,27,2,2,1,1,9,9
tilde_expand,,38,9,8,2,2,6,11
title_init,,22,3,3,2,0,8,14
title_resize,,6,1,1,0,0,4,1
title_update,,46,3,4,1,1,16,16
xgetcwd,,19,4,3,1,1,3,7
xfree,,9,2,2,1,1,65,2
xstack_init,,8,1,1,0,0,4,3
xstack_preview,,13,2,2,1,1,9,3
xstack_push,,10,1,1,0,0,7,6
__builtin___strcat_chk,,,,,,,,
add_to_environment,,15,3,3,2,1,4,2
clean_up,,7,1,1,0,0,2,3
command_expand,,240,1240,68,5,558,14,27
dir_history_add,,9,1,1,0,0,5,5
dir_history_next,,11,2,2,1,1,6,3
dir_history_prev,,11,2,2,1,1,5,3
dir_history_reset,,14,3,3,2,0,3,4
fatal,,9,2,2,1,0,14,4
hide,,7,1,1,0,0,3,3
il_build_help_from_string,,20,2,2,1,0,2,3
il_dispatch_commands,,101,40,40,2,302,5,26
il_fix_text,,25,5,5,2,3,2,7
il_history_add_entry,,12,2,2,1,1,3,4
il_history_view_entry,,9,1,2,0,0,3,2
il_isearch,,92,25,16,3,16,10,17
il_read_char,,89,2088,20,4,18,20,19
il_read_line,,105,1752,23,4,38,14,16
in_terminal_mode,,5,1,1,0,0,2,1
main,,1156,999999999,229,9,2072,54,144
panels_can_be_displayed,,16,5,5,3,7,5,1
read_keys,,90,8193,22,4,18,9,25
refresh,,37,22,7,2,2,14,16
report_undefined_key,,26,4,4,1,2,2,13
reread,,6,1,1,0,0,3,1
resize,,53,33,11,3,5,9,8
set_prompt,,8,1,2,0,0,3,6
usage,,11,1,1,0,0,2,1
xbasename,,11,2,3,1,0,3,4
xdirname,,14,2,2,1,1,1,3
xfstat,,15,1,2,1,0,4,3
xlstat,,15,1,2,1,0,3,3
xread,,18,2,3,1,1,5,3
xreadlink,,18,3,3,2,2,2,4
xstat,,15,1,2,1,0,11,3
xwrite,,18,2,3,1,1,7,3
title_end,,5,1,1,0,0,1,1
